1.719240000000000146e+04,3.536819999999999595e+02,4.000000000000000192e-04,1.000000000000000000e+00,4.000000000000000083e-02,3.540000000000000000e+02,5.850427786220050060e-03
2.011176000000000204e+04,3.546829999999999927e+02,3.499999999999999964e-04,9.999999999999004130e-01,9.999975258324920180e-01,4.450785670005372481e+02,4.402623925587377078e-08
2.367221999999999753e+04,3.556829999999999927e+02,2.833333333333333537e-04,9.999999999997720712e-01,9.999983662601235057e-01,4.450786467350620228e+02,1.293456828368437797e-08
2.795081999999999971e+04,3.566839999999999691e+02,2.333333333333333310e-04,9.999999999996180833e-01,9.999987494594037019e-01,4.450786830906180853e+02,5.876918061833409070e-09
3.423641999999999825e+04,3.637239999999999895e+02,4.666666666666666619e-04,9.999999999993915978e-01,9.999990132978845425e-01,4.450787081219685888e+02,2.920287076771086700e-09
3.630239999999999418e+04,3.647249999999999659e+02,4.833333333333333362e-04,9.999999999993172128e-01,9.999990732517693992e-01,4.450787138100198490e+02,2.427047392648371309e-09
3.834659999999999854e+04,3.657259999999999991e+02,4.833333333333333362e-04,9.999999999992434940e-01,9.999991182664752509e-01,4.450787180807352570e+02,2.095356548432983078e-09
4.031616000000000349e+04,3.667299999999999613e+02,5.166666666666666846e-04,9.999999999991725508e-01,9.999991505827051652e-01,4.450787211466983990e+02,1.876716830630982316e-09
4.221516000000000349e+04,3.677319999999999709e+02,5.333333333333333589e-04,9.999999999991043831e-01,9.999991749875352109e-01,4.450787234620773916e+02,1.722001115799104399e-09
4.403886000000000058e+04,3.687319999999999709e+02,5.500000000000000331e-04,9.999999999990385469e-01,9.999991964745484907e-01,4.450787255006321743e+02,1.592974562081373340e-09
4.580573999999999796e+04,3.697339999999999804e+02,5.666666666666667074e-04,9.999999999989751531e-01,9.999992203447873873e-01,4.450787277652923990e+02,1.457321532213194811e-09
4.747859999999999854e+04,3.707339999999999804e+02,5.999999999999999474e-04,9.999999999989149790e-01,9.999992450522753318e-01,4.450787301093855604e+02,1.325193269540336291e-09
4.905503999999999360e+04,3.717369999999999663e+02,6.333333333333332959e-04,9.999999999988582466e-01,9.999992665711670004e-01,4.450787321509645835e+02,1.216785437162696722e-09
5.054627999999999884e+04,3.727369999999999663e+02,6.666666666666666444e-04,9.999999999988045118e-01,9.999992854190423719e-01,4.450787339391341106e+02,1.126794943805929836e-09
5.194836000000000058e+04,3.737409999999999854e+02,7.166666666666665587e-04,9.999999999987539967e-01,9.999993018644043330e-01,4.450787354993682357e+02,1.051967316244385047e-09
5.328192000000000553e+04,3.747419999999999618e+02,7.500000000000000156e-04,9.999999999987060351e-01,9.999993164153060388e-01,4.450787368798677335e+02,9.885650954995645611e-10
5.452368000000000029e+04,3.757419999999999618e+02,8.000000000000000383e-04,9.999999999986611821e-01,9.999993290579700655e-01,4.450787380793254897e+02,9.355737226319170002e-10
