286.54	80.532	0.024
335.196	81.533	0.021
394.537	82.533	0.017
465.847	83.534	0.014
570.607	90.574	0.028
605.04	91.575	0.029
639.11	92.576	0.029
671.936	93.58	0.031
703.586	94.582	0.032
733.981	95.582	0.033
763.429	96.584	0.034
791.31	97.584	0.036
817.584	98.587	0.038
842.438	99.587	0.04
865.806	100.591	0.043
888.032	101.592	0.045
908.728	102.592	0.048
928.145	103.594	0.052
946.235	104.595	0.055
963.285	105.596	0.059
979.203	106.596	0.063
993.899	107.599	0.068
1007.96	108.602	0.071
1020.857	109.605	0.078
1032.958	110.606	0.083
1044.326	111.607	0.088
1054.793	112.609	0.096
1064.632	113.611	0.102
1073.665	114.616	0.111
1082.229	115.616	0.117
1090.04	116.617	0.128
1097.399	117.617	0.136
1104.28	118.618	0.146
1110.577	119.62	0.159
1116.46	120.625	0.171
1121.999	121.627	0.181
1127.069	122.629	0.198
1131.81	123.63	0.211
1136.203	124.634	0.229
1140.308	125.635	0.244
1144.157	126.636	0.26
1147.719	127.637	0.281
1151.088	128.638	0.297
1154.243	129.639	0.317
1184	134.031	0.371
1186.566	135.031	0.39
1188.85	136.035	0.44
1190.975	137.036	0.471
1192.926	138.038	0.513
1194.753	139.041	0.549
1196.418	140.042	0.602
1197.978	141.047	0.644
1199.414	142.049	0.698
1200.749	143.054	0.753
1202.008	144.055	0.795
1203.159	145.056	0.87
1204.265	146.056	0.904
1205.323	147.059	0.948
1206.284	148.061	1.043
1207.144	149.065	1.168
1207.907	150.072	1.319
1208.602	151.074	1.442
1209.245	152.078	1.562
1209.84	153.081	1.686
1210.39	154.085	1.825
1210.901	155.086	1.958
1211.375	156.088	2.115
1211.82	157.092	2.255
1212.229	158.096	2.454
1212.616	159.097	2.587
1212.986	160.105	2.726
1213.332	161.109	2.902
1213.648	162.114	3.18
1213.945	163.119	3.385
1214.225	164.122	3.583
1214.492	165.127	3.761
1214.742	166.129	4.011
1214.979	167.135	4.241
1215.198	168.135	4.569
1215.403	169.147	4.933
1215.598	170.15	5.145
1215.782	171.169	5.539
1215.959	172.186	5.744
1216.121	173.189	6.193
1216.271	174.192	6.685
1216.419	175.224	6.974
1216.557	176.225	7.255
1216.686	177.24	7.868
1216.806	178.241	8.338
1216.924	179.243	8.497
1217.026	180.264	10.005
1217.131	181.278	9.658
1217.23	182.303	10.356
1217.32	183.325	11.355
1217.407	184.331	11.56
1217.492	185.36	12.11
1217.57	186.383	13.107
1217.645	187.429	13.95
1217.717	188.459	14.301
1217.783	189.482	15.501
1217.846	190.513	16.37
1217.906	191.523	16.827
1217.964	192.56	17.886
1218.018	193.577	18.838
1218.069	194.6	20.048
1218.12	195.642	20.446
1218.165	196.676	22.965
1218.21	197.684	22.393
1218.252	198.743	25.234
1218.295	199.799	24.554
1218.334	200.836	26.592
1218.37	201.847	28.078
1218.409	202.951	28.305
1218.448	204.083	29.019
1218.484	205.105	28.385
1218.517	206.149	31.641
1218.553	207.218	29.704
1218.586	208.371	34.922
1218.616	209.487	37.202
1218.64	210.521	43.101
1218.664	211.637	46.484
1218.688	212.719	45.096
1218.706	213.767	58.211
1218.727	214.884	53.19
1218.742	215.943	70.593
1218.76	217.1	64.316
1218.775	218.177	71.748
1218.79	219.304	75.195
1218.802	220.759	121.215
1218.808	222.011	208.689
1218.811	227.137	1708.612
1218.814	231.637	1499.923
1218.817	236.137	1499.923
1218.82	240.636	1499.923
1218.85	275.62	1166.116
1218.853	310.603	11661.164
1218.856	345.587	11661.164
1218.859	383.136	12516.416
1218.862	385.702	855.252
1218.865	388.268	855.252
1218.868	390.833	855.252
1218.871	392.039	402.044
