time,Mpp
0.00000000,0.05551608
1.00000000,0.00000000
2.00000000,0.11001936
3.00000000,0.25794274
4.00000000,0.13643052
5.00000000,0.23401495
6.00000000,0.55246611
7.00000000,0.59074488
8.00000000,0.59049547
9.00000000,0.84744766
10.00000000,0.88255405
11.00000000,1.03213402
12.00000000,1.26245651
13.00000000,1.17358849
14.00000000,1.34704275
15.00000000,1.62948838
16.00000000,1.73152774
17.00000000,2.03198206
18.00000000,2.04711928
19.00000000,2.14202474
20.00000000,2.61439717
21.00000000,2.57545295
22.00000000,2.75767652
23.00000000,2.73963675
24.00000000,2.98605640
25.00000000,3.20657774
26.00000000,3.21205768
27.00000000,3.52843955
28.00000000,3.56428691
29.00000000,3.74300140
30.00000000,3.85174969
31.00000000,4.26863241
32.00000000,4.20192205
33.00000000,4.22624860
34.00000000,4.57664954
35.00000000,4.48773731
36.00000000,4.78622463
37.00000000,4.68177605
38.00000000,4.88950816
39.00000000,5.19634770
40.00000000,5.39251311
41.00000000,5.46400946
42.00000000,5.56606190
43.00000000,5.67872311
44.00000000,5.67977893
45.00000000,5.89649410
46.00000000,6.05665868
47.00000000,6.35676695
48.00000000,6.40677869
49.00000000,6.30037207
50.00000000,6.66198567
51.00000000,6.71036768
52.00000000,6.80469855
53.00000000,7.07498057
54.00000000,7.24742264
55.00000000,7.36117418
56.00000000,7.28751460
57.00000000,7.47030573
58.00000000,7.66477998
59.00000000,7.85902068
60.00000000,7.81800900
61.00000000,7.97174246
62.00000000,7.98912538
63.00000000,8.09872482
64.00000000,8.44224322
65.00000000,8.62139104
66.00000000,8.57951321
67.00000000,8.81685475
68.00000000,8.86162704
69.00000000,8.86500799
70.00000000,9.09279769
71.00000000,9.33899828
72.00000000,9.27718513
73.00000000,9.56956164
74.00000000,9.21479324
75.00000000,9.71177504
76.00000000,9.74138082
77.00000000,9.80939281
78.00000000,9.96365365
79.00000000,9.84126992
80.00000000,10.14831191
81.00000000,10.32166522
82.00000000,10.55526121
83.00000000,10.43993241
84.00000000,10.51472062
85.00000000,10.65568256
86.00000000,10.92021003
87.00000000,10.96023938
88.00000000,10.96934858
89.00000000,11.19045489
90.00000000,11.24794142
91.00000000,11.44883200
92.00000000,11.36506134
93.00000000,11.50934629
94.00000000,11.60407024
95.00000000,11.58573939
96.00000000,11.88331792
97.00000000,11.97980551
98.00000000,12.05110652
99.00000000,12.12372620
100.00000000,12.09067094
