time,force_meas_kN,disp_meas,force_sim_N,disp_sim
9.937888198757738323e-04,5.328947368421040665e+00,1.459700132710415980e-02,1.415914701905121728e+04,1.096791300175599046e-02
3.478260869565215352e-03,2.042763157894734150e+01,3.863933996856998287e-02,1.025982709544546560e+04,3.766432438576251818e-02
5.217391304347819558e-03,3.996710526315791867e+01,5.901714635639929152e-02,8.538446171034878489e+02,5.590616309470734790e-02
6.956521739130430704e-03,5.684210526315791867e+01,7.897267177820310735e-02,1.925992828467025538e+04,7.407619102190172999e-02
7.950310559006204536e-03,7.016447368421052033e+01,8.926650153135759491e-02,2.187702360365457935e+04,8.424744584145410498e-02
8.695652173913034910e-03,9.858552631578942282e+01,9.698687384622345364e-02,1.510849970684607251e+04,9.173775198061517866e-02
9.440993788819872223e-03,1.127960526315789025e+02,1.048618870751271553e-01,5.542387774770198121e+03,9.914549966163514749e-02
9.937888198757759139e-03,1.367763157894736423e+02,1.102777864477667707e-01,8.813665153649392323e+02,1.040632761179055843e-01
1.142857142857142683e-02,1.669736842105263008e+02,1.267452250642243095e-01,6.670584609884779638e+03,1.188051913852947727e-01
1.267080745341614412e-02,1.927302631578947398e+02,1.404181672923949520e-01,2.063937271016057275e+04,1.309775002589832760e-01
1.614906832298135947e-02,2.122697368421052602e+02,1.732447067412996033e-01,8.650162212189986803e+02,1.636711887969671542e-01
1.913043478260868790e-02,2.451315789473684106e+02,2.040888326943470221e-01,2.106174920165384538e+04,1.908787105189439504e-01
2.037267080745341213e-02,2.833223684210526017e+02,2.156843207703608989e-01,8.777326446293915069e+03,2.017482986071577611e-01
2.062111801242235559e-02,3.081907894736841627e+02,2.177876852808122432e-01,6.170953446547368003e+03,2.038990497909119737e-01
2.161490683229813636e-02,3.383881578947368212e+02,2.262011433226177315e-01,1.756145838703968366e+03,2.124749594195427249e-01
2.236024844720496674e-02,3.623684210526315610e+02,2.327841833154962736e-01,6.393505788733067675e+03,2.188908751587754775e-01
2.285714285714285365e-02,3.801315789473684390e+02,2.372257752658585850e-01,1.175708981389156725e+04,2.231500515091399406e-01
2.360248447204969097e-02,3.899013157894736423e+02,2.438881631914021075e-01,1.907815044738904180e+04,2.294804119523697616e-01
2.484472049689440826e-02,3.756907894736842195e+02,2.528309905197778096e-01,1.975418078433490518e+04,2.397923655641886198e-01
2.608695652173912555e-02,3.588157894736842195e+02,2.607093821510297893e-01,7.641174630598674412e+03,2.498177242035338752e-01
2.683229813664595592e-02,3.348355263157894797e+02,2.654364171297809993e-01,2.897574970354208745e+03,2.557621309774661955e-01
2.757763975155278630e-02,3.188486842105263008e+02,2.701634521085321539e-01,4.461615936261061506e+03,2.616874313852171618e-01
2.807453416149068709e-02,3.001973684210526017e+02,2.733148087610330346e-01,8.669900866648382362e+03,2.656243094599482490e-01
2.881987577639751746e-02,2.886513157894736423e+02,2.786466898954704230e-01,1.605227746583555017e+04,2.714854234893878115e-01
3.055900621118012167e-02,2.779934210526315610e+02,2.927540069686411228e-01,1.824715057487541344e+04,2.847805977638342978e-01
3.204968944099378242e-02,2.859868421052631220e+02,3.042114417495954681e-01,5.158611489660677762e+03,2.957627981260053662e-01
3.279503105590061279e-02,2.984210526315789593e+02,3.094657513008594596e-01,3.858172286879571402e+03,3.011912016497290678e-01
3.354037267080745705e-02,3.108552631578946830e+02,3.147200608521236176e-01,8.339363424087419844e+03,3.065953964041358004e-01
3.453416149068323088e-02,3.303947368421052602e+02,3.217258069204756432e-01,1.712578677743145454e+04,3.137210052692077089e-01
3.602484472049689163e-02,3.597039473684210407e+02,3.316312520431513589e-01,1.840642750766994868e+04,3.240886249567311306e-01
3.751552795031056625e-02,3.810197368421052602e+02,3.410853220006538900e-01,6.371896337267187846e+03,3.340758461331631568e-01
3.900621118012422700e-02,3.961184210526315610e+02,3.505393919581562545e-01,8.064063586327557459e+03,3.438919470756410246e-01
4.124223602484471812e-02,4.023355263157894797e+02,3.621757901909193889e-01,1.929618508267595098e+04,3.581771533609326985e-01
4.397515527950311004e-02,3.943421052631578618e+02,3.776208654527412611e-01,5.581581818231603393e+03,3.745785530122826557e-01
