Total DE iterations: 20
--------------------------------------------------

Population size: 100
Max iterations: 20

1, 1.6898E-01, 0.5810
2, 1.1848E-01, 0.5756
3, 8.8066E-02, 0.6088
4, 8.8066E-02, 0.5698
5, 8.8066E-02, 0.0114
6, 8.8066E-02, 0.5431
7, 7.8953E-02, 0.5450
8, 7.8953E-02, 0.5581
9, 4.5660E-02, 0.0120
10, 4.5660E-02, 0.5361
11, 3.5410E-02, 0.0091
12, 3.5410E-02, 0.5440
13, 2.0830E-02, 0.0087
14, 1.7251E-02, 0.0082
15, 1.6227E-02, 0.0085
16, 1.4039E-02, 0.0082
17, 1.4039E-02, 0.0077
18, 1.4039E-02, 0.0071
19, 1.4039E-02, 0.0073
20, 9.0862E-03, 0.0079
