0.000000000000000000e+00,5.551608000000000237e-02,5.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,3.641778435938651910e+02,9.721441103443710652e-02,1.486717835934381511e-02,1.425122352136125947e+01,3.870166189775701981e-02,3.574863478847253617e+01,1.416901661818843684e-04,8.419665060887336820e-07,3.721848211222433735e-05,3.131634996259936580e-08,9.996126024633718998e+01
2.000000000000000000e+00,1.100193599999999966e-01,3.639555664251305984e+02,1.859081787511653039e-01,5.951639907323016260e-02,1.416226374207657912e+01,3.872726087858269217e-02,3.583746621602648474e+01,2.700418969303939416e-04,6.347396722530036969e-06,7.169232364034717835e-05,6.402073962993537955e-08,9.996119463538009597e+01
3.000000000000000000e+00,2.579427400000000037e-01,3.638254911664475344e+02,2.509462444766106803e-01,1.278996828871063196e-01,1.416559608363395739e+01,3.874101017767440230e-02,3.583403899859281694e+01,3.649177731788164655e-04,2.081492352395115136e-05,9.698924034894958060e-05,8.804388785729576172e-08,9.996114109761450095e+01
4.000000000000000000e+00,1.364305199999999996e-01,3.636956823411516098e+02,2.985677802354744226e-01,2.137057357529009716e-01,1.416920125399689034e+01,3.875460314275221835e-02,3.583036429479917473e+01,4.344512039322888397e-04,4.737778682912850779e-05,1.155340149021081615e-04,1.056549398224788047e-07,9.996108237940039487e+01
5.000000000000000000e+00,2.340149499999999994e-01,3.635658848943771773e+02,3.334228491024162633e-01,3.122736356557889725e-01,1.417281327218748643e+01,3.876810694745166930e-02,3.582670132791864148e+01,4.853998938842703876e-04,8.827667634749610925e-05,1.291276183230836646e-04,1.185640162731734002e-07,9.996101437019360958e+01
6.000000000000000000e+00,5.524661100000000102e-01,3.634361044930391813e+02,3.589209314057095201e-01,4.201861141855982029e-01,1.417642999219423849e+01,3.878154643587113787e-02,3.582304728414357697e+01,5.227236622337434312e-04,1.450971299167015660e-04,1.390910401257742721e-04,1.280255432404325199e-07,9.996093413736839750e+01
7.000000000000000000e+00,5.907448800000000277e-01,3.633063457919933512e+02,3.775615001451063657e-01,5.349380437783899378e-01,1.418005039613947815e+01,3.879493977698854346e-02,3.581939954441745755e+01,5.500594430917322367e-04,2.189448334580390446e-04,1.463930687680473606e-04,1.349595007680984216e-07,9.996083958736114994e+01
8.000000000000000000e+00,5.904954700000000223e-01,3.631766121518993486e+02,3.911767633730177662e-01,6.546931256314055814e-01,1.418367374059260477e+01,3.880830031080635678e-02,3.581575618549603490e+01,5.700739114477297240e-04,3.105742156812203725e-04,1.517441307589819191e-04,1.400405291056492170e-07,9.996072924130204740e+01
9.000000000000000000e+00,8.474476600000000470e-01,3.630469059833658321e+02,4.011096936132496626e-01,7.781054426955321679e-01,1.418729948184061662e+01,3.882163783369869253e-02,3.581211579598133454e+01,5.847221781353285127e-04,4.204827656850187154e-04,1.556651463639547098e-04,1.437633124191066432e-07,9.996060207049072233e+01
1.000000000000000000e+01,8.825540499999999788e-01,3.629172290009587414e+02,4.083445858914038773e-01,9.041885953371221474e-01,1.419092722264521811e+01,3.883495954171962972e-02,3.580847733980448311e+01,5.954375503345509186e-04,5.489802016778469679e-04,1.585380476182356136e-04,1.464905499151978606e-07,9.996045737571826351e+01
1.100000000000000000e+01,1.032134019999999985e+00,3.627875824094970767e+02,4.136027953584108796e-01,1.032219739052067986e+00,1.419455667318433356e+01,3.884827072295982120e-02,3.580484005609883980e+01,6.032707168275312955e-04,6.962391901419555384e-04,1.606428385320593922e-04,1.484881479396623030e-07,9.996029469876005180e+01
1.200000000000000000e+01,1.262456510000000032e+00,3.626579670406715650e+02,4.174129358889678842e-01,1.161669221102829219e+00,1.419818762239770393e+01,3.886157526566044740e-02,3.580120338577222583e+01,6.089918301199640036e-04,8.623325315223767272e-04,1.621847799629033769e-04,1.499510347408473963e-07,9.996011375747173133e+01
1.300000000000000000e+01,1.173588489999999984e+00,3.625283834532224887e+02,4.201623484752757820e-01,1.292148991299663985e+00,1.420181991696662926e+01,3.887487603107667167e-02,3.579756691766262122e+01,6.131653707802156008e-04,1.047260419534772318e-03,1.633143287674091728e-04,1.510220948415249145e-07,9.995991439819832181e+01
1.400000000000000000e+01,1.347042749999999955e+00,3.623988320063890001e+02,4.221348340145426592e-01,1.423374780618313684e+00,1.420545344589496217e+01,3.888817512706687490e-02,3.579393034905786664e+01,6.162050470724453203e-04,1.250970420460404894e-03,1.641417611699079189e-04,1.518060556060557437e-07,9.995969656088507804e+01
1.500000000000000000e+01,1.629488379999999959e+00,3.622693129137544474e+02,4.235383140024600590e-01,1.555138375551058827e+00,1.420908812919938136e+01,3.890147410882126289e-02,3.579029345674925366e+01,6.184140512609980151e-04,1.473372113762474404e-03,1.647478966088234006e-04,1.523796708381307229e-07,9.995946025350096420e+01
1.600000000000000000e+01,1.731527739999999982e+00,3.621398262826539280e+02,4.245251060989060354e-01,1.687287291619298024e+00,1.421272390624627491e+01,3.891477412611640124e-02,3.578665607587409170e+01,6.200178795854563874e-04,1.714347818025529872e-03,1.651919612556510843e-04,1.527991882030304996e-07,9.995920553329537483e+01
1.700000000000000000e+01,2.031982059999999812e+00,3.620103721433974329e+02,4.252067851468284698e-01,1.819709892586497180e+00,1.421636074509966186e+01,3.892807603135905320e-02,3.578301808406369844e+01,6.211708366345438607e-04,1.973760446633610055e-03,1.655173536487726548e-04,1.531058244769485211e-07,9.995893249306249118e+01
1.800000000000000000e+01,2.047119279999999986e+00,3.618809504698611477e+02,4.256650747185332095e-01,1.952324442177018504e+00,1.421999860629812140e+01,3.894138045878084431e-02,3.577937939064807438e+01,6.220030537684266558e-04,2.251459259206739765e-03,1.657558717818616940e-04,1.533297797676959797e-07,9.995864125108030862e+01
1.900000000000000000e+01,2.142024740000000094e+00,3.617515611957373949e+02,4.259598288347165029e-01,2.085071140403710999e+00,1.422363747709334980e+01,3.895468788260266629e-02,3.577573992757960042e+01,6.225953269420831998e-04,2.547284070414901260e-03,1.659308119507474735e-04,1.534931803300913613e-07,9.995833194374164066e+01
2.000000000000000000e+01,2.614397170000000159e+00,3.616222042254424878e+02,4.261348807826843554e-01,2.217906237002072345e+00,1.422727734456857718e+01,3.896799865962347065e-02,3.577209964377586715e+01,6.230116554037949585e-04,2.861068328141543916e-03,1.660592403098799092e-04,1.536122357614753584e-07,9.995800472015950788e+01
2.100000000000000000e+01,2.575452949999999852e+00,3.614928794426261334e+02,4.262223286588296967e-01,2.350797744763737818e+00,1.423091820298927956e+01,3.898131306048747968e-02,3.576845850045607023e+01,6.232965545481412026e-04,3.192641362913989627e-03,1.661536578631801298e-04,1.536988201798517904e-07,9.995765973821990258e+01
2.200000000000000000e+01,2.757676519999999964e+00,3.613635867160321595e+02,4.262456752148012784e-01,2.483722280301501772e+00,1.423456004025663191e+01,3.899463129258724792e-02,3.576481646808525028e+01,6.234916579580746313e-04,3.541830030039968928e-03,1.662232207603328224e-04,1.537616311001954567e-07,9.995729716169495305e+01
2.300000000000000000e+01,2.739636749999999843e+00,3.612343259044132537e+02,4.262221281182609345e-01,2.616662781479150990e+00,1.423820286049465267e+01,3.900795351690079793e-02,3.576117352351423762e+01,6.236159908840652275e-04,3.908459906711036526e-03,1.662746345962512267e-04,1.538070387290391411e-07,9.995691715813467226e+01
2.400000000000000000e+01,2.986056399999999833e+00,3.611050968593296489e+02,4.261642849903936048e-01,2.749606794448484770e+00,1.424184665890935975e+01,3.902127986027950635e-02,3.575752964868041062e+01,6.236924099704386918e-04,4.292356163105106454e-03,1.663128097521758509e-04,1.538397083289891115e-07,9.995651989732692755e+01
2.500000000000000000e+01,3.206577740000000176e+00,3.609758994277947863e+02,4.260813676735650257e-01,2.882545249901965700e+00,1.424549143494688686e+01,3.903461042449964807e-02,3.575388482905249532e+01,6.237360003678009022e-04,4.693344194625547784e-03,1.663413415876959260e-04,1.538630562517677296e-07,9.995610555017587728e+01
2.600000000000000000e+01,3.212057680000000026e+00,3.608467334542195886e+02,4.259801262417551859e-01,3.015471567407931541e+00,1.424913720257790928e+01,3.904794529290079447e-02,3.575023905247894618e+01,6.237449428449720959e-04,5.111250079215966594e-03,1.663628622669651900e-04,1.538795840663299575e-07,9.995567428788561415e+01
2.700000000000000000e+01,3.528439549999999869e+00,3.607175987810435345e+02,4.258655010651075656e-01,3.148380958814740005e+00,1.425278395638962792e+01,3.906128453519291249e-02,3.574659230913591301e+01,6.237344741773063897e-04,5.545900906615470506e-03,1.663792985157698295e-04,1.538911233496560816e-07,9.995522628136821197e+01
2.800000000000000000e+01,3.564286909999999864e+00,3.605884952502698297e+02,4.257411076511345427e-01,3.281269973819535668e+00,1.425643170353077060e+01,3.907462821106016254e-02,3.574294459040414296e+01,6.237060647468011497e-04,5.997125013792909375e-03,1.663920604418325712e-04,1.538990150121879525e-07,9.995476170081535372e+01
