0.000000000000000000e+00,7.826439998480000382e-01,2.119970020999999982e-01,7.783837152170000051e-01,2.670865924670000058e-01,2.085224204209999987e-01
1.003344481609999977e-01,6.838691196260000549e-01,2.572230125430000069e-01,5.887336524427585482e-01,2.134718589643812692e+01,2.557147995548966213e-01
2.006688963209999899e-01,5.702043569700000480e-01,2.846585407680000124e-01,3.278875698456932830e-01,3.611872127141275968e+01,2.744821004373114715e-01
3.010033444820000015e-01,4.234211004610000106e-01,2.987044648450000173e-01,1.548632181673315900e-01,5.518921132726108425e+01,2.702641917634317492e-01
4.013377926419999797e-01,2.003753601599999878e-01,3.211915857539999752e-01,8.706863277777927845e-02,7.584068174371296323e+01,2.552911141948161489e-01
5.016722408029999913e-01,1.867455727200000026e-02,2.956934942469999772e-01,7.232511337299041276e-02,9.213354788664257455e+01,2.383113536179985725e-01
6.020066889630000251e-01,5.013188463039999591e-03,2.641577559809999975e-01,7.036220137147099207e-02,1.019833861687488650e+02,2.223383501252849392e-01
7.023411371240000367e-01,-1.062517185319999946e-02,2.359659074480000007e-01,7.015003318516190023e-02,1.066066764700454996e+02,2.078162383650506151e-01
8.026755852839999594e-01,1.591373675060000006e-02,2.178574958299999975e-01,7.012335052950134651e-02,1.076476336983916866e+02,1.946722097015080033e-01
9.030100334449999711e-01,1.470239330100000033e-02,1.924404278229999987e-01,7.012504209395273302e-02,1.063613313233095568e+02,1.827820978835966725e-01
1.003344481609999894e+00,-1.321073827460000037e-02,1.858968712129999978e-01,7.013794304690593173e-02,1.036247165624272384e+02,1.720278328472313045e-01
1.103678929770000039e+00,-1.087199703969999980e-02,1.481908466390000068e-01,7.015803231825364084e-02,1.000393350559297829e+02,1.623018262181390170e-01
1.204013377929999962e+00,-8.088777761500000330e-03,1.414665918149999868e-01,7.018334788699093219e-02,9.601322356871851582e+01,1.535064974383210379e-01
1.304347826090000106e+00,5.215190879899999840e-03,1.387854769430000024e-01,7.021263530918354923e-02,9.181931174902021553e+01,1.455534334028830701e-01
1.404682274250000029e+00,2.437249944550000033e-02,1.219734746240000028e-01,7.024500242398842853e-02,8.763658503787253551e+01,1.383625616958188420e-01
1.505016722409999952e+00,3.682987192389999831e-02,1.104315122870000027e-01,7.027978006021921853e-02,8.357901964036726383e+01,1.318613798934681336e-01
1.605351170570000097e+00,7.736751662079999810e-04,9.496256659860000116e-02,7.031642332819826313e-02,7.971588368919744028e+01,1.259842491614664162e-01
1.705685618730000019e+00,1.345314626610000057e-02,8.883239725130000208e-02,7.035446573152037697e-02,7.608595267357941339e+01,1.206717489357511247e-01
1.806020066889999942e+00,2.937221707790000150e-02,8.136636007799999404e-02,7.039349654077606266e-02,7.270744186626274086e+01,1.158700897904469257e-01
1.906354515050000087e+00,-9.896079540329999827e-03,6.166208367610000185e-02,7.043314826092847425e-02,6.958492564687274751e+01,1.115305804776120790e-01
2.006688963209999788e+00,3.584089759220000088e-02,7.587372161239999691e-02,7.047308902353563442e-02,6.671413813315732000e+01,1.076091448316343763e-01
2.107023411370000154e+00,-2.249221555730000072e-02,5.500578311280000104e-02,7.051301778692899147e-02,6.408528617614540224e+01,1.040658842583521565e-01
2.207357859530000077e+00,2.006022457609999907e-03,5.303515784710000069e-02,7.055266155419022411e-02,6.168531965815958529e+01,1.008646817087799630e-01
2.307692307690000000e+00,2.418466721419999885e-03,5.946330296309999819e-02,7.059177419160733713e-02,5.949947249980582598e+01,9.797284330229157068e-02
2.408026755849999923e+00,-1.271389084349999928e-02,5.011195332050000228e-02,7.063013637010989720e-02,5.751229490210550210e+01,9.536077407235094006e-02
2.508361204009999845e+00,-3.279863310580000135e-03,4.188567820639999689e-02,7.066755598068590050e-02,5.570833183831381774e+01,9.300168462786728707e-02
2.608695652170000212e+00,-1.564640757710000080e-02,2.956736676179999926e-02,7.070386825372941553e-02,5.407255663842533977e+01,9.087132582985302243e-02
2.709030100330000135e+00,-4.305898261780000298e-03,1.963665131730000027e-02,7.073893479851800503e-02,5.259063597193484441e+01,8.894774885590288338e-02
